trial_id,timestamp,wallclock_time_sec,gpu_memory_mb,silhouette_score,config_model_type,config_n_latent,config_n_hidden,config_n_layers,config_learning_rate,config_dropout_rate,config_gene_likelihood,config_svm_C,config_rf_n_estimators,config_rf_max_depth,config_integration_method,config_hvg_count,config_fusion_method,config_fusion_hidden_dim,config_batch_size,config_n_epochs
4,2026-03-22 05:36:23.211216,101.92725992202759,0.0,0.19519835710525513,classical,10,116,2,0.004865086919700199,0.05491959212470011,nb,0.027493246520895877,250,23,scvi,3476,moe,500,32,69
12,2026-03-22 05:49:56.384862,101.55825567245483,0.0,0.19488339126110077,scvi,14,117,3,0.0001672577118802788,0.1057349031456921,zinb,14.982862310522627,106,9,scanvi,2984,moe,167,128,13
6,2026-03-22 05:39:46.350285,101.42517971992493,0.0,0.19388926029205322,classical,40,223,2,0.0006811206597022108,0.2949499199628064,zinb,0.061307072049726546,409,7,scvi,3557,concat,440,256,30
5,2026-03-22 05:38:04.921988,101.70758152008057,0.0,0.19348998367786407,scgpt,35,98,3,0.0031666091605063347,0.2522384940132798,nb,138.88684662801242,121,23,scanvi,3308,attention,95,256,70
9,2026-03-22 05:44:51.854314,101.97741675376892,0.0,0.19310659170150757,classical,44,88,3,0.0014311164420855403,0.2046608116594771,nb,18.682304481749853,289,15,scanvi,4903,moe,462,32,95
3,2026-03-22 05:34:41.281190,102.69003391265869,0.0,0.19310417771339417,scvi,16,232,2,1.5972225075657885e-05,0.15296594826897117,nb,0.001245814672507493,371,5,scvi,3415,attention,165,32,93
7,2026-03-22 05:41:28.210010,101.85696411132812,0.0,0.19297002255916595,classical,15,155,1,2.986053044166112e-05,0.26547271972891456,zinb,0.7156085026207464,264,6,scanvi,1755,concat,128,32,32
11,2026-03-22 05:48:14.823585,101.10934376716614,0.0,0.19283194839954376,classical,25,249,2,1.6627014312217988e-05,0.18733998678603536,zinb,0.0012342553074753512,256,12,scvi,4612,attention,135,64,14
13,2026-03-22 05:51:37.616230,101.22796416282654,0.0,0.1921486258506775,scvi,20,65,3,1.3814562986141782e-05,0.013064512164678887,poisson,0.0014019034674029993,311,9,scanvi,1766,attention,211,128,74
2,2026-03-22 05:32:58.588002,103.03463125228882,0.0,0.19213613867759705,multimodal,10,168,1,1.1309634939799097e-05,0.17359691523600448,zinb,0.10744234780322799,204,25,scvi,4948,attention,235,32,53
0,2026-03-22 05:29:25.187943,140.603910446167,0.0,0.19205066561698914,classical,41,99,4,0.0006173770394704573,0.13374982585607734,poisson,0.0022310108018679204,439,20,scanvi,1082,attention,387,64,29
8,2026-03-22 05:43:09.874041,101.66129326820374,0.0,0.19202567636966705,classical,19,71,4,0.0006524229756697262,0.20924173153103107,zinb,0.11698641200568051,108,21,harmony,3038,attention,175,256,93
14,2026-03-22 05:53:18.822353,101.20304584503174,0.0,0.19107353687286377,classical,43,193,3,0.0033427934900340434,0.2887029439739108,zinb,0.2533616966827076,187,9,harmony,2939,attention,407,64,62
10,2026-03-22 05:46:33.711228,101.85325288772583,0.0,0.19031833112239838,classical,46,66,3,0.002013713557041698,0.20622868493064148,zinb,0.0019726994799396757,457,18,scvi,4269,moe,293,256,47
1,2026-03-22 05:31:15.549439,110.35907673835754,0.0,0.19013452529907227,scvi,39,123,2,0.0033500175402322446,0.0683860428742719,nb,0.0366928147468981,339,22,scanvi,4446,moe,452,256,53
